ts,priceDiff,margin,sell_exchange_name,buy_exchange_name,sell_pair,buy_pair,sell_price,buy_price,sell_amount,buy_amount,sell_margin,buy_margin,suggested_buy_amount,suggested_sell_amount,gross_margin,trade_decision
2020-02-18 23:06:05.700340,0.0004919600000000135,0.0016890864197260048,bitrue,bittrex,XRP-USDT,XRP-USDT,0.29175,0.29125804,1900.0,1366.7319730000002,-812.4069730000001,-2792.5124298714645,554.325,1900.0,0.9363028296146467,False
2020-02-18 23:06:10.246865,0.00032999999999999696,0.0011323862466543029,bitrue,binance,XRP-USDT,XRP-USDT,0.29175,0.29142,1900.0,1534.0726,-979.7475999999999,-3364.129435179466,554.325,1900.0,0.6277100061766987,False
2020-02-18 23:06:19.817363,0.00024187999999997212,0.000830466117133394,binance,bittrex,XRP-USDT,XRP-USDT,0.2915,0.29125812,390.0,1366.7319730000002,-1253.0469730000002,-4302.511140976945,113.68499999999999,390.0,0.09441154052632328,False
2020-02-18 23:06:25.180059,0.00035183999999999216,0.0012080004900119955,bitrue,bittrex,XRP-USDT,XRP-USDT,0.29161,0.29125816,1900.0,1366.7319730000002,-812.6729730000002,-2792.5104965299524,554.059,1900.0,0.66930354349563,False
2020-02-18 23:06:29.824696,0.00018000000000001348,0.0006177076183940065,bitrue,binance,XRP-USDT,XRP-USDT,0.29158,0.2914,1900.0,1534.0726,-980.0705999999999,-3364.490734385724,554.0020000000001,1900.0,0.3422112560054984,False
2020-02-18 23:06:38.654837,9.205000000001018e-05,0.0003160428753962259,binance,bittrex,XRP-USDT,XRP-USDT,0.29135,0.29125795,390.0,1366.7319730000002,-1253.105473,-4302.513879878645,113.6265,390.0,0.03591084578121695,False
2020-02-18 23:06:43.794965,0.00024204999999999366,0.0008310502769108746,bitrue,bittrex,XRP-USDT,XRP-USDT,0.2915,0.29125795,1900.0,1366.7319730000002,-812.8819730000002,-2792.5138798786447,553.8499999999999,1900.0,0.4602771958670928,False
2020-02-18 23:06:48.486224,0.00045999999999996044,0.001581788796808777,bitrue,binance,XRP-USDT,XRP-USDT,0.29127,0.29081,1900.0,1534.0726,-980.6596000000001,-3375.171417764175,553.4129999999999,1900.0,0.8753824834083161,False
2020-02-18 23:06:57.295918,0.0006372099999999992,0.0021936239320752846,binance,bittrex,XRP-USDT,XRP-USDT,0.29112,0.29048279,390.0,1366.7319730000002,-1253.195173,-4315.035960994454,113.5368,390.0,0.2490570416512412,False
2020-02-18 23:07:03.227799,0.000617140000000016,0.0021245315472314475,bitrue,bittrex,XRP-USDT,XRP-USDT,0.2911,0.29048286,1900.0,1366.7319730000002,-813.6419730000001,-2805.034827183952,553.09,1900.0,1.1750571534582832,False
2020-02-18 23:07:07.778996,0.00043999999999999595,0.001511508072827193,binance,bitrue,XRP-USDT,XRP-USDT,0.29154,0.2911,1534.0726,1900.0,-1452.756474196,-4992.894078117484,447.243525804,1534.0726,0.6760121997724582,False
